name,owner,stars,language,pr_number,pr_title,pr_state,pr_author,pr_created_at,pr_closed_at,pr_merged_at,pr_is_merged,pr_base_branch,pr_head_branch,pr_additions,pr_deletions,pr_changed_files,pr_total_changes,pr_comments_count,pr_reviews_count,pr_review_requests_count,pr_commits_count,pr_participants_count,pr_assignees_count,pr_labels,pr_labels_count,pr_review_decision,pr_is_draft,pr_lifetime_hours,pr_time_to_merge_hours,has_code_review
build-your-own-x,codecrafters-io,423208,Markdown,551,Add Ray Tracing in One Weekend,MERGED,paralysedforce,2020-11-17T02:38:14Z,2023-01-31T07:44:39Z,2023-01-31T07:44:39Z,True,master,master,1,0,1,1,0,2,0,2,3,0,,0,,False,19325.106944444444,19325.106944444444,True
build-your-own-x,codecrafters-io,423208,Markdown,63,Update README.md,MERGED,kopylovvlad,2018-05-14T17:30:12Z,2018-05-14T18:55:00Z,2018-05-14T18:55:00Z,True,master,master,2,1,1,3,1,2,0,2,2,0,,0,,False,1.4133333333333333,1.4133333333333333,True
awesome,sindresorhus,403538,Unknown,3471,Improve clarity in badge usage explanation,MERGED,yuriuser126,2025-06-06T07:46:57Z,2025-06-06T11:42:13Z,2025-06-06T11:42:13Z,True,main,fix-typo-or-add-resource,1,1,1,2,0,2,0,1,4,0,,0,,False,3.921111111111111,3.921111111111111,True
awesome,sindresorhus,403538,Unknown,3451,Add Pokémon Home,CLOSED,alexrodba,2025-05-16T23:14:08Z,2025-05-19T10:28:16Z,,False,main,patch-2,1,0,1,1,3,2,0,1,5,0,,0,,False,59.23555555555556,,True
awesome,sindresorhus,403538,Unknown,3430,Update readme.md,CLOSED,Wind-Gone,2025-05-08T02:54:58Z,2025-05-08T02:55:47Z,,False,main,patch-1,1,0,1,1,0,2,0,1,2,0,,0,,False,0.01361111111111111,,True
awesome,sindresorhus,403538,Unknown,3394,Update readme.md,CLOSED,ajaydcruz,2025-04-06T08:00:53Z,2025-05-29T10:37:17Z,,False,main,patch-1,1,0,1,1,6,2,0,1,5,0,,0,,False,1274.6066666666666,,True
awesome,sindresorhus,403538,Unknown,3343,Add Dofus 3,CLOSED,esaias-hebert-bernig,2025-01-30T13:52:52Z,2025-05-15T12:30:37Z,,False,main,awesome-dofus-3,1,0,1,1,5,2,0,1,5,0,,0,,False,2518.6291666666666,,True
awesome,sindresorhus,403538,Unknown,3341,Add missing period for consistency in the Code-of-Conduct.md section,CLOSED,shaymolcho,2025-01-23T07:41:57Z,2025-01-23T08:49:34Z,,False,main,main,1,1,1,2,1,2,0,1,3,0,,0,,False,1.1269444444444445,,True
awesome,sindresorhus,403538,Unknown,3299,"Update link for ""Drupal"" CMS",CLOSED,theodorosploumis,2024-12-07T14:26:25Z,2025-05-15T12:33:32Z,,False,main,patch-1,1,1,1,2,9,2,0,1,8,0,,0,,False,3814.118611111111,,True
awesome,sindresorhus,403538,Unknown,3234,Add WezTerm,MERGED,michaelbrusegard,2024-10-03T16:46:12Z,2025-05-15T11:53:01Z,2025-05-15T11:53:01Z,True,main,main,1,0,1,1,8,2,0,2,5,0,,0,,False,5371.113611111111,5371.113611111111,True
